        31394141 function calls (28555966 primitive calls) in 21.487 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      8/1    0.000    0.000   21.487   21.487 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/core/handlers/exception.py:52(inner)
      7/1    0.000    0.000   21.487   21.487 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/utils/deprecation.py:127(__call__)
        1    0.000    0.000   21.486   21.486 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/core/handlers/base.py:174(_get_response)
        1    0.001    0.001   21.394   21.394 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/response.py:105(render)
        1    0.000    0.000   21.387   21.387 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/response.py:81(rendered_content)
    219/1    0.000    0.000   21.379   21.379 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/backends/django.py:56(render)
 201488/1    0.391    0.000   21.379   21.379 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/base.py:169(render)
 201490/1    0.115    0.000   21.379   21.379 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/base.py:166(_render)
 302961/1    0.408    0.000   21.379   21.379 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/base.py:1004(render)
 302961/1    0.370    0.000   21.374   21.374 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/base.py:1005(<listcomp>)
 807572/1    0.439    0.000   21.374   21.374 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/base.py:958(render_annotated)
      2/1    0.000    0.000   21.374   21.374 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/loader_tags.py:131(render)
    69/15    0.001    0.000   21.301    1.420 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/loader_tags.py:49(render)
 201392/2    1.879    0.000   21.264   10.632 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/defaulttags.py:183(render)
 201267/2    1.178    0.000   21.261   10.631 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/loader_tags.py:174(render)
202336/404    0.154    0.000   21.215    0.053 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/defaulttags.py:310(render)
      3/1    0.000    0.000   21.209   21.209 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/defaulttags.py:538(render)
202298/445    0.190    0.000   21.201    0.048 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/base.py:1062(render)
202374/510    0.353    0.000   21.174    0.042 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/base.py:1037(render_value_in_context)
      109    0.000    0.000   21.102    0.194 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/utils/html.py:420(<lambda>)
      108    0.000    0.000   21.100    0.195 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/forms/boundfield.py:30(__str__)
      108    0.001    0.000   21.100    0.195 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/forms/boundfield.py:84(as_widget)
  138/108    0.000    0.000   21.098    0.195 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/forms/widgets.py:278(render)
       30    0.029    0.001   21.042    0.701 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/contrib/admin/widgets.py:305(get_context)
  218/213    0.001    0.000   16.670    0.078 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/forms/renderers.py:27(render)
      138    0.000    0.000   16.656    0.121 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/forms/widgets.py:283(_render)
       30    0.000    0.000    4.401    0.147 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/forms/widgets.py:757(get_context)
       30    0.000    0.000    4.401    0.147 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/forms/widgets.py:715(get_context)
       30    0.300    0.010    4.401    0.147 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/forms/widgets.py:652(optgroups)
908427/908259    0.842    0.000    3.948    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/base.py:712(resolve)
   100559    0.101    0.000    3.924    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/forms/models.py:1396(__iter__)
   100606    0.133    0.000    2.713    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/db/models/query.py:85(__iter__)
   100529    0.047    0.000    2.653    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/db/models/query.py:509(_iterator)
807779/807625    0.419    0.000    2.357    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/base.py:843(resolve)
404944/404942    0.603    0.000    2.035    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/utils/functional.py:239(wrapper)
   100557    0.832    0.000    1.992    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/db/models/base.py:574(from_db)
807651/807499    1.089    0.000    1.938    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/base.py:867(_resolve_lookup)
   202461    0.206    0.000    1.459    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/utils/html.py:82(conditional_escape)
   100499    0.191    0.000    1.168    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/forms/models.py:1415(choice)
   100561    0.782    0.000    1.133    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/db/models/base.py:460(__init__)
   604222    0.484    0.000    1.095    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/context.py:48(push)
411540/411287    0.156    0.000    0.939    0.000 {built-in method builtins.next}
606587/606524    0.373    0.000    0.885    0.000 {built-in method builtins.any}
   100557    0.670    0.000    0.847    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/forms/models.py:1523(prepare_value)
   402980    0.258    0.000    0.778    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/context.py:201(push_state)
   705001    0.654    0.000    0.736    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/context.py:14(__init__)
1008969/1008956    0.729    0.000    0.729    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/context.py:78(__getitem__)
202863/202856    0.115    0.000    0.702    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/defaulttags.py:876(eval)
   201810    0.114    0.000    0.652    0.000 /usr/local/Cellar/python@3.11/3.11.4_1/Frameworks/Python.framework/Versions/3.11/lib/python3.11/contextlib.py:132(__enter__)
   704996    0.456    0.000    0.639    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/context.py:57(pop)
   202136    0.176    0.000    0.581    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/utils/html.py:17(escape)
       49    0.002    0.000    0.572    0.012 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/silk/sql.py:64(execute_sql)
   201810    0.163    0.000    0.560    0.000 /usr/local/Cellar/python@3.11/3.11.4_1/Frameworks/Python.framework/Versions/3.11/lib/python3.11/contextlib.py:141(__exit__)
   402733    0.194    0.000    0.551    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/context.py:23(__exit__)
201466/201456    0.221    0.000    0.548    0.000 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/template/context.py:89(__contains__)
   201810    0.132    0.000    0.411    0.000 /usr/local/Cellar/python@3.11/3.11.4_1/Frameworks/Python.framework/Versions/3.11/lib/python3.11/contextlib.py:287(helper)
   202136    0.263    0.000    0.405    0.000 /usr/local/Cellar/python@3.11/3.11.4_1/Frameworks/Python.framework/Versions/3.11/lib/python3.11/html/__init__.py:12(escape)
       98    0.001    0.000    0.389    0.004 /Users/miguel/work/recetas/venv/lib/python3.11/site-packages/django/db/backends/utils.py:100(execute)
